sovereignt,year,sex,age,population,suicides_100k,gdp_per_capita,generation
Albania,2010,male,55-74,241852,8.27,4359,Silent
Albania,2010,male,35-54,371611,5.38,4359,Generation X
Albania,2010,male,25-34,179720,5.01,4359,Generation X
Albania,2010,male,75+,50767,3.94,4359,Silent
Albania,2010,male,15-24,279508,3.58,4359,Millenials
Albania,2010,female,25-34,183579,3.27,4359,Generation X
Albania,2010,female,75+,64415,3.1,4359,Silent
Albania,2010,female,35-54,394593,3.04,4359,Generation X
Albania,2010,female,55-74,241491,2.9,4359,Silent
Albania,2010,female,15-24,263581,2.28,4359,Millenials
Albania,2010,female,5-14,223969,0.89,4359,Generation Z
Albania,2010,male,5-14,240939,0.0,4359,Generation Z
Argentina,2010,male,75+,657096,31.35,11273,Silent
Argentina,2010,male,15-24,3455127,19.77,11273,Millenials
Argentina,2010,male,25-34,3237957,14.98,11273,Generation X
Argentina,2010,male,55-74,2740656,14.49,11273,Silent
Argentina,2010,male,35-54,4648068,12.33,11273,Generation X
Argentina,2010,female,15-24,3358103,4.47,11273,Millenials
Argentina,2010,female,35-54,4804030,3.37,11273,Generation X
Argentina,2010,female,25-34,3210247,3.15,11273,Generation X
Argentina,2010,female,55-74,3212253,3.08,11273,Silent
Argentina,2010,female,75+,1234182,2.75,11273,Silent
Argentina,2010,male,5-14,3570316,0.92,11273,Generation Z
Argentina,2010,female,5-14,3450419,0.58,11273,Generation Z
Armenia,2010,male,75+,52333,11.47,3460,Silent
Armenia,2010,male,55-74,193100,6.73,3460,Silent
Armenia,2010,male,25-34,202936,4.93,3460,Generation X
Armenia,2010,male,35-54,346739,4.33,3460,Generation X
Armenia,2010,male,15-24,252152,3.17,3460,Millenials
Armenia,2010,female,55-74,253182,2.76,3460,Silent
Armenia,2010,female,75+,81770,2.45,3460,Silent
Armenia,2010,female,5-14,167142,1.2,3460,Generation Z
Armenia,2010,female,35-54,427571,1.17,3460,Generation X
Armenia,2010,male,5-14,191722,1.04,3460,Generation Z
Armenia,2010,female,15-24,270727,0.74,3460,Millenials
Armenia,2010,female,25-34,236851,0.42,3460,Generation X
Aruba,2010,male,35-54,15543,25.74,25974,Generation X
Aruba,2010,male,55-74,8660,23.09,25974,Silent
Aruba,2010,female,55-74,10186,9.82,25974,Silent
Aruba,2010,female,15-24,6031,0.0,25974,Millenials
Aruba,2010,female,25-34,6488,0.0,25974,Generation X
Aruba,2010,female,35-54,17826,0.0,25974,Generation X
Aruba,2010,female,5-14,7148,0.0,25974,Generation Z
Aruba,2010,female,75+,2264,0.0,25974,Silent
Aruba,2010,male,15-24,6437,0.0,25974,Millenials
Aruba,2010,male,25-34,5568,0.0,25974,Generation X
Aruba,2010,male,5-14,7414,0.0,25974,Generation Z
Aruba,2010,male,75+,1441,0.0,25974,Silent
Australia,2010,male,35-54,3076853,26.52,54887,Generation X
Australia,2010,male,75+,582009,25.94,54887,Silent
Australia,2010,male,25-34,1606526,19.36,54887,Generation X
Australia,2010,male,55-74,2051197,17.55,54887,Silent
Australia,2010,male,15-24,1618860,13.71,54887,Millenials
Australia,2010,female,35-54,3132534,7.28,54887,Generation X
Australia,2010,female,25-34,1579905,5.95,54887,Generation X
Australia,2010,female,75+,805401,5.34,54887,Silent
Australia,2010,female,15-24,1521652,5.26,54887,Millenials
Australia,2010,female,55-74,2103428,4.94,54887,Silent
Australia,2010,male,5-14,1420846,0.49,54887,Generation Z
Australia,2010,female,5-14,1348336,0.3,54887,Generation Z
Austria,2010,male,75+,240431,74.87,49181,Silent
Austria,2010,male,55-74,838208,34.24,49181,Silent
Austria,2010,male,35-54,1296607,25.07,49181,Generation X
Austria,2010,male,15-24,518657,17.55,49181,Millenials
Austria,2010,male,25-34,542986,15.65,49181,Generation X
Austria,2010,female,75+,431151,14.38,49181,Silent
Austria,2010,female,55-74,923411,9.75,49181,Silent
Austria,2010,female,35-54,1291400,7.9,49181,Generation X
Austria,2010,female,25-34,539299,4.64,49181,Generation X
Austria,2010,female,15-24,499638,2.8,49181,Millenials
Austria,2010,male,5-14,433795,0.46,49181,Generation Z
Austria,2010,female,5-14,412838,0.24,49181,Generation Z
Bahamas,2010,male,75+,3090,32.36,30239,Silent
Bahamas,2010,female,15-24,31792,6.29,30239,Millenials
Bahamas,2010,male,35-54,50326,5.96,30239,Generation X
Bahamas,2010,male,55-74,21188,4.72,30239,Silent
Bahamas,2010,female,55-74,25150,3.98,30239,Silent
Bahamas,2010,male,15-24,31968,3.13,30239,Millenials
Bahamas,2010,female,35-54,53312,1.88,30239,Generation X
Bahamas,2010,female,25-34,28521,0.0,30239,Generation X
Bahamas,2010,female,5-14,26732,0.0,30239,Generation Z
Bahamas,2010,female,75+,5772,0.0,30239,Silent
Bahamas,2010,male,25-34,28398,0.0,30239,Generation X
Bahamas,2010,male,5-14,27620,0.0,30239,Generation Z
Bahrain,2010,male,35-54,252232,3.17,22572,Generation X
Bahrain,2010,male,25-34,235591,2.55,22572,Generation X
Bahrain,2010,male,55-74,41999,2.38,22572,Silent
Bahrain,2010,female,35-54,125709,1.59,22572,Generation X
Bahrain,2010,female,15-24,80571,1.24,22572,Millenials
Bahrain,2010,female,25-34,104368,0.96,22572,Generation X
Bahrain,2010,female,5-14,77140,0.0,22572,Generation Z
Bahrain,2010,female,55-74,27834,0.0,22572,Silent
Bahrain,2010,female,75+,4625,0.0,22572,Silent
Bahrain,2010,male,15-24,103388,0.0,22572,Millenials
Bahrain,2010,male,5-14,81414,0.0,22572,Generation Z
Bahrain,2010,male,75+,4289,0.0,22572,Silent
Barbados,2010,male,35-54,39379,7.62,17034,Generation X
Barbados,2010,female,15-24,18739,0.0,17034,Millenials
Barbados,2010,female,25-34,19612,0.0,17034,Generation X
Barbados,2010,female,35-54,43369,0.0,17034,Generation X
Barbados,2010,female,5-14,18590,0.0,17034,Generation Z
Barbados,2010,female,55-74,26589,0.0,17034,Silent
Barbados,2010,female,75+,9853,0.0,17034,Silent
Barbados,2010,male,15-24,18747,0.0,17034,Millenials
Barbados,2010,male,25-34,18826,0.0,17034,Generation X
Barbados,2010,male,5-14,19462,0.0,17034,Generation Z
Barbados,2010,male,55-74,22675,0.0,17034,Silent
Barbados,2010,male,75+,6086,0.0,17034,Silent
Belarus,2010,male,75+,158977,72.34,6371,Silent
Belarus,2010,male,35-54,1353782,64.19,6371,Generation X
Belarus,2010,male,55-74,744533,61.52,6371,Silent
Belarus,2010,male,25-34,723856,52.77,6371,Generation X
Belarus,2010,male,15-24,707657,33.91,6371,Millenials
Belarus,2010,female,75+,432426,14.34,6371,Silent
Belarus,2010,female,35-54,1483086,9.78,6371,Generation X
Belarus,2010,female,25-34,715558,8.39,6371,Generation X
Belarus,2010,female,55-74,1092687,7.6,6371,Silent
Belarus,2010,female,15-24,668827,5.83,6371,Millenials
Belarus,2010,male,5-14,462298,1.08,6371,Generation Z
Belarus,2010,female,5-14,437506,0.23,6371,Generation Z
Belgium,2010,male,75+,354037,51.69,47355,Silent
Belgium,2010,male,35-54,1576828,39.45,47355,Generation X
Belgium,2010,male,55-74,1084719,32.82,47355,Silent
Belgium,2010,male,25-34,696461,26.42,47355,Generation X
Belgium,2010,female,35-54,1548246,15.7,47355,Generation X
Belgium,2010,female,55-74,1156036,14.96,47355,Silent
Belgium,2010,male,15-24,663725,14.77,47355,Millenials
Belgium,2010,female,75+,586690,10.74,47355,Silent
Belgium,2010,female,25-34,693304,7.21,47355,Generation X
Belgium,2010,female,15-24,647625,4.94,47355,Millenials
Belgium,2010,male,5-14,614697,1.14,47355,Generation Z
Belgium,2010,female,5-14,588803,0.34,47355,Generation Z
Belize,2010,male,55-74,11553,17.31,4923,Silent
Belize,2010,male,25-34,24053,16.63,4923,Generation X
Belize,2010,male,35-54,32734,15.27,4923,Generation X
Belize,2010,male,15-24,32338,6.18,4923,Millenials
Belize,2010,female,35-54,32852,6.09,4923,Generation X
Belize,2010,female,15-24,32738,0.0,4923,Millenials
Belize,2010,female,25-34,25416,0.0,4923,Generation X
Belize,2010,female,5-14,38304,0.0,4923,Generation Z
Belize,2010,female,55-74,10522,0.0,4923,Silent
Belize,2010,female,75+,2363,0.0,4923,Silent
Belize,2010,male,5-14,38669,0.0,4923,Generation Z
Belize,2010,male,75+,2254,0.0,4923,Silent
Brazil,2010,male,75+,1882113,19.02,12161,Silent
Brazil,2010,male,55-74,10813388,11.43,12161,Silent
Brazil,2010,male,25-34,17023785,10.76,12161,Generation X
Brazil,2010,male,35-54,24501254,10.55,12161,Generation X
Brazil,2010,male,15-24,17726866,7.27,12161,Millenials
Brazil,2010,female,35-54,26004856,3.21,12161,Generation X
Brazil,2010,female,55-74,12605588,2.69,12161,Silent
Brazil,2010,female,75+,2940677,2.69,12161,Silent
Brazil,2010,female,25-34,17054489,2.37,12161,Generation X
Brazil,2010,female,15-24,17237481,2.13,12161,Millenials
Brazil,2010,male,5-14,17242386,0.32,12161,Generation Z
Brazil,2010,female,5-14,16596829,0.29,12161,Generation Z
Bulgaria,2010,male,75+,224566,61.01,7066,Silent
Bulgaria,2010,male,55-74,799085,27.16,7066,Silent
Bulgaria,2010,male,35-54,1058086,19.09,7066,Generation X
Bulgaria,2010,female,75+,366672,16.36,7066,Silent
Bulgaria,2010,male,25-34,566462,10.06,7066,Generation X
Bulgaria,2010,female,55-74,979427,7.56,7066,Silent
Bulgaria,2010,male,15-24,467481,7.49,7066,Millenials
Bulgaria,2010,female,35-54,1061049,5.37,7066,Generation X
Bulgaria,2010,female,25-34,537199,2.05,7066,Generation X
Bulgaria,2010,female,15-24,444943,1.8,7066,Millenials
Bulgaria,2010,male,5-14,338094,0.3,7066,Generation Z
Bulgaria,2010,female,5-14,319676,0.0,7066,Generation Z
Canada,2010,male,35-54,5088099,25.39,49974,Generation X
Canada,2010,male,75+,917671,21.79,49974,Silent
Canada,2010,male,55-74,3333897,20.7,49974,Silent
Canada,2010,male,25-34,2366854,17.28,49974,Generation X
Canada,2010,male,15-24,2357806,15.73,49974,Millenials
Canada,2010,female,35-54,5044926,7.97,49974,Generation X
Canada,2010,female,55-74,3510692,6.75,49974,Silent
Canada,2010,female,25-34,2335884,6.59,49974,Generation X
Canada,2010,female,15-24,2239759,5.13,49974,Millenials
Canada,2010,female,75+,1347679,3.64,49974,Silent
Canada,2010,male,5-14,1922599,0.99,49974,Generation Z
Canada,2010,female,5-14,1820274,0.71,49974,Generation Z
Chile,2010,male,75+,241464,40.59,13874,Silent
Chile,2010,male,35-54,2329802,26.05,13874,Generation X
Chile,2010,male,25-34,1289792,23.8,13874,Generation X
Chile,2010,male,55-74,1162662,23.48,13874,Silent
Chile,2010,male,15-24,1442868,21.83,13874,Millenials
Chile,2010,female,15-24,1391250,6.47,13874,Millenials
Chile,2010,female,35-54,2348223,6.39,13874,Generation X
Chile,2010,female,25-34,1257779,6.2,13874,Generation X
Chile,2010,female,55-74,1307594,3.44,13874,Silent
Chile,2010,female,75+,404348,2.47,13874,Silent
Chile,2010,male,5-14,1311312,1.37,13874,Generation Z
Chile,2010,female,5-14,1264757,0.79,13874,Generation Z
Colombia,2010,male,75+,418296,15.54,6836,Silent
Colombia,2010,male,25-34,3779392,11.54,6836,Generation X
Colombia,2010,male,15-24,4274849,11.23,6836,Millenials
Colombia,2010,male,55-74,2337537,9.63,6836,Silent
Colombia,2010,male,35-54,5646115,8.2,6836,Generation X
Colombia,2010,female,15-24,4154664,4.5,6836,Millenials
Colombia,2010,female,25-34,3841659,2.03,6836,Generation X
Colombia,2010,female,35-54,6052417,1.19,6836,Generation X
Colombia,2010,male,5-14,4178908,0.98,6836,Generation Z
Colombia,2010,female,5-14,4010759,0.97,6836,Generation Z
Colombia,2010,female,75+,594329,0.84,6836,Silent
Colombia,2010,female,55-74,2700178,0.59,6836,Silent
Costa Rica,2010,male,25-34,371498,19.92,8906,Generation X
Costa Rica,2010,male,35-54,581171,18.24,8906,Generation X
Costa Rica,2010,male,55-74,274921,13.09,8906,Silent
Costa Rica,2010,male,75+,57885,12.09,8906,Silent
Costa Rica,2010,male,15-24,420069,9.52,8906,Millenials
Costa Rica,2010,female,25-34,364253,3.29,8906,Generation X
Costa Rica,2010,female,35-54,592166,2.7,8906,Generation X
Costa Rica,2010,female,15-24,404425,2.47,8906,Millenials
Costa Rica,2010,female,55-74,287471,1.74,8906,Silent
Costa Rica,2010,male,5-14,386778,1.29,8906,Generation Z
Costa Rica,2010,female,5-14,369792,0.0,8906,Generation Z
Costa Rica,2010,female,75+,74234,0.0,8906,Silent
Croatia,2010,male,75+,114205,86.69,14232,Silent
Croatia,2010,male,55-74,461893,46.55,14232,Silent
Croatia,2010,male,35-54,621977,29.9,14232,Generation X
Croatia,2010,female,75+,221668,20.75,14232,Silent
Croatia,2010,male,15-24,272848,14.66,14232,Millenials
Croatia,2010,male,25-34,316471,13.9,14232,Generation X
Croatia,2010,female,55-74,541827,13.84,14232,Silent
Croatia,2010,female,35-54,627682,7.97,14232,Generation X
Croatia,2010,female,15-24,261670,4.97,14232,Millenials
Croatia,2010,female,25-34,306249,2.29,14232,Generation X
Croatia,2010,female,5-14,222940,0.45,14232,Generation Z
Croatia,2010,male,5-14,234533,0.0,14232,Generation Z
Cuba,2010,male,75+,263320,78.23,5997,Silent
Cuba,2010,male,55-74,972763,38.45,5997,Silent
Cuba,2010,male,35-54,1899890,25.05,5997,Generation X
Cuba,2010,male,25-34,710089,14.36,5997,Generation X
Cuba,2010,female,55-74,1005594,14.12,5997,Silent
Cuba,2010,female,75+,340480,11.75,5997,Silent
Cuba,2010,male,15-24,817305,8.2,5997,Millenials
Cuba,2010,female,35-54,1893737,5.54,5997,Generation X
Cuba,2010,female,25-34,688810,2.47,5997,Generation X
Cuba,2010,female,15-24,771457,2.33,5997,Millenials
Cuba,2010,female,5-14,660046,1.06,5997,Generation Z
Cuba,2010,male,5-14,702357,0.57,5997,Generation Z
Cyprus,2010,male,75+,19667,15.25,32477,Silent
Cyprus,2010,male,25-34,65092,10.75,32477,Generation X
Cyprus,2010,male,55-74,75567,9.26,32477,Silent
Cyprus,2010,male,35-54,107241,8.39,32477,Generation X
Cyprus,2010,male,15-24,67097,5.96,32477,Millenials
Cyprus,2010,female,15-24,64577,4.65,32477,Millenials
Cyprus,2010,female,35-54,119200,3.36,32477,Generation X
Cyprus,2010,female,55-74,79168,1.26,32477,Silent
Cyprus,2010,female,25-34,69866,0.0,32477,Generation X
Cyprus,2010,female,5-14,45354,0.0,32477,Generation Z
Cyprus,2010,female,75+,26570,0.0,32477,Silent
Cyprus,2010,male,5-14,47682,0.0,32477,Generation Z
Czech Republic,2010,male,75+,243211,47.28,20862,Silent
Czech Republic,2010,male,55-74,1121705,35.13,20862,Silent
Czech Republic,2010,male,35-54,1499075,31.55,20862,Generation X
Czech Republic,2010,male,25-34,858416,19.57,20862,Generation X
Czech Republic,2010,male,15-24,665538,14.12,20862,Millenials
Czech Republic,2010,female,75+,453417,8.82,20862,Silent
Czech Republic,2010,female,55-74,1288749,6.52,20862,Silent
Czech Republic,2010,female,35-54,1445352,6.02,20862,Generation X
Czech Republic,2010,female,25-34,805752,3.23,20862,Generation X
Czech Republic,2010,female,15-24,629937,3.17,20862,Millenials
Czech Republic,2010,male,5-14,479853,0.21,20862,Generation Z
Czech Republic,2010,female,5-14,454268,0.0,20862,Generation Z
Denmark,2010,male,75+,153231,39.81,61711,Silent
Denmark,2010,male,55-74,613233,23.16,61711,Silent
Denmark,2010,male,35-54,791338,17.94,61711,Generation X
Denmark,2010,male,25-34,329780,13.04,61711,Generation X
Denmark,2010,female,75+,236409,9.31,61711,Silent
Denmark,2010,female,55-74,634607,8.82,61711,Silent
Denmark,2010,female,35-54,776699,8.24,61711,Generation X
Denmark,2010,male,15-24,349175,4.87,61711,Millenials
Denmark,2010,female,15-24,333696,3.0,61711,Millenials
Denmark,2010,female,25-34,327722,1.83,61711,Generation X
Denmark,2010,female,5-14,327790,0.0,61711,Generation Z
Denmark,2010,male,5-14,344105,0.0,61711,Generation Z
Ecuador,2010,male,15-24,1436267,14.9,5206,Millenials
Ecuador,2010,male,25-34,1181648,14.47,5206,Generation X
Ecuador,2010,male,35-54,1639225,10.07,5206,Generation X
Ecuador,2010,male,55-74,713198,9.53,5206,Silent
Ecuador,2010,male,75+,160404,8.73,5206,Silent
Ecuador,2010,female,15-24,1395797,8.1,5206,Millenials
Ecuador,2010,female,25-34,1175139,5.11,5206,Generation X
Ecuador,2010,female,75+,200768,2.99,5206,Silent
Ecuador,2010,female,55-74,766861,2.35,5206,Silent
Ecuador,2010,female,35-54,1675740,2.33,5206,Generation X
Ecuador,2010,male,5-14,1536680,1.69,5206,Generation Z
Ecuador,2010,female,5-14,1478558,1.22,5206,Generation Z
El Salvador,2010,male,25-34,400088,23.24,3318,Generation X
El Salvador,2010,male,55-74,294119,15.3,3318,Silent
El Salvador,2010,male,75+,73884,14.89,3318,Silent
El Salvador,2010,male,15-24,596366,13.58,3318,Millenials
El Salvador,2010,male,35-54,560083,13.03,3318,Generation X
El Salvador,2010,female,15-24,621228,7.08,3318,Millenials
El Salvador,2010,female,25-34,486153,3.91,3318,Generation X
El Salvador,2010,female,35-54,715456,2.8,3318,Generation X
El Salvador,2010,female,75+,96291,2.08,3318,Silent
El Salvador,2010,female,5-14,658707,1.06,3318,Generation Z
El Salvador,2010,female,55-74,372845,0.8,3318,Silent
El Salvador,2010,male,5-14,685233,0.15,3318,Generation Z
Estonia,2010,male,75+,28755,62.6,15540,Silent
Estonia,2010,male,55-74,120465,44.83,15540,Silent
Estonia,2010,male,35-54,179395,34.0,15540,Generation X
Estonia,2010,male,25-34,96230,29.1,15540,Generation X
Estonia,2010,male,15-24,91065,21.96,15540,Millenials
Estonia,2010,female,75+,75665,15.86,15540,Silent
Estonia,2010,female,55-74,172395,8.12,15540,Silent
Estonia,2010,female,25-34,91330,5.47,15540,Generation X
Estonia,2010,female,35-54,187560,4.8,15540,Generation X
Estonia,2010,female,15-24,85755,2.33,15540,Millenials
Estonia,2010,female,5-14,61030,0.0,15540,Generation Z
Estonia,2010,male,5-14,64580,0.0,15540,Generation Z
Finland,2010,male,25-34,351262,33.88,48939,Generation X
Finland,2010,male,75+,153947,33.78,48939,Silent
Finland,2010,male,35-54,719196,33.51,48939,Generation X
Finland,2010,male,55-74,616801,32.43,48939,Silent
Finland,2010,male,15-24,336807,31.18,48939,Millenials
Finland,2010,female,25-34,332711,11.12,48939,Generation X
Finland,2010,female,35-54,701523,10.98,48939,Generation X
Finland,2010,female,55-74,663064,10.41,48939,Silent
Finland,2010,female,15-24,322681,9.3,48939,Millenials
Finland,2010,female,75+,277369,8.29,48939,Silent
Finland,2010,male,5-14,300513,0.33,48939,Generation Z
Finland,2010,female,5-14,287620,0.0,48939,Generation Z
France,2010,male,75+,2081818,65.04,44747,Silent
France,2010,male,35-54,8518205,36.6,44747,Generation X
France,2010,male,55-74,6187723,31.61,44747,Silent
France,2010,male,25-34,3829316,21.02,44747,Generation X
France,2010,female,75+,3538923,13.11,44747,Silent
France,2010,female,55-74,6785286,13.1,44747,Silent
France,2010,female,35-54,8736585,12.29,44747,Generation X
France,2010,male,15-24,3937209,9.78,44747,Millenials
France,2010,female,25-34,3906931,4.53,44747,Generation X
France,2010,female,15-24,3823806,3.06,44747,Millenials
